payee_requested_amount,payee_settlement_amount,txn_type,txn_subtype,txn_status,hour,day_of_week,month,dt_time_txn_compl,payer_psp,payee_psp,remitter_bank,beneficiary_bank,payer_state,payee_state,beneficiary_mcc_code,remitter_mcc_code,txn_type_encoded,txn_subtype_encoded,txn_status_encoded,payer_psp_encoded,payee_psp_encoded,remitter_bank_encoded,beneficiary_bank_encoded,payer_state_encoded,payee_state_encoded,fraud,gpt_prediction,correct
38972.0,38972.0,Transfer,Intra-bank Transfer,Successful,14,0,7,2022-07-25 14:04:00,PayPal (for international transactions),Paytm for Business,Union Bank of India,Cosmos Co-operative Bank,Gujarat,Rajasthan,821,3739,5,9,7,9,8,54,15,4,16,0,0,True
54660.0,54660.0,Payment,Bill Payment,On Hold,2,5,2,2020-02-08 02:52:00,Axis Pay,Pine Labs (for POS transactions),Dhanlaxmi Bank,Bank of Baroda,Punjab,Uttarakhand,5816,5655,2,2,3,2,10,17,5,15,20,1,0,False
98284.0,103034.0,Deposit,Cheque Deposit,Successful,2,1,5,2023-05-23 02:24:00,Visa,HDFC Merchant Services,Shamrao Vithal Co-operative Bank,Jana Small Finance Bank,West Bengal,Tamil Nadu,5681,7339,0,5,7,14,4,46,30,21,17,0,0,True
97422.0,97422.0,Deposit,Cheque Deposit,Successful,4,4,3,2019-03-08 04:08:00,ICICI iMobile,Razorpay,Indian Bank,Indian Overseas Bank,Delhi,Bihar,4131,7372,0,5,7,6,11,26,27,2,1,0,0,True
71804.0,71804.0,Deposit,Cash Deposit,Successful,4,2,7,2019-07-31 04:38:00,MobiKwik,ICICI Merchant Services,AU Small Finance Bank,Madhya Bihar Gramin Bank,Uttar Pradesh,Bihar,5231,5451,0,4,7,8,5,0,35,19,1,0,0,True
1894.0,1894.0,Reversal,Fraudulent Transaction,Successful,16,6,12,2020-12-13 16:22:00,Axis Pay,SBI POS,Punjab & Sind Bank,Central Bank of India,Goa,Bihar,5975,8042,4,6,7,2,12,41,12,3,1,0,0,True
13258.0,13258.0,Transfer,Intra-bank Transfer,Successful,8,0,7,2022-07-04 08:48:00,ICICI iMobile,Google Pay for Business,Lakshmi Vilas Bank,Fincare Small Finance Bank,Rajasthan,Bihar,5422,5972,5,9,7,6,3,34,21,16,1,0,0,True
54612.0,54612.0,Payment,Peer-to-Peer (P2P),Successful,18,4,7,2021-07-23 18:16:00,BHIM UPI,Razorpay,Andhra Bank,Oriental Bank of Commerce,Tamil Nadu,Rajasthan,5713,3289,2,11,7,3,11,2,39,17,16,0,0,True
27502.0,35752.0,Deposit,Cash Deposit,Successful,2,4,10,2021-10-01 02:38:00,MobiKwik,Paytm for Business,Dhanlaxmi Bank,Indian Bank,West Bengal,Kerala,5044,5971,0,4,7,8,8,17,26,21,10,0,0,True
57622.0,57622.0,Payment,Merchant Payment,Successful,22,4,6,2020-06-19 22:38:00,ICICI iMobile,ICICI Merchant Services,State Bank of India (SBI),Capital Small Finance Bank,Uttar Pradesh,Jammu and Kashmir,6399,1740,2,10,7,6,5,48,11,19,7,0,0,True
1310.0,1310.0,Deposit,Cheque Deposit,Successful,6,0,9,2021-09-06 06:56:00,PayPal (for international transactions),CCAvenue,State Bank of India (SBI),Capital Small Finance Bank,Karnataka,Bihar,5812,5718,0,5,7,9,2,48,11,9,1,0,0,True
43982.0,43982.0,Payment,Merchant Payment,Successful,2,3,1,2020-01-30 02:34:00,PayPal (for international transactions),PhonePe for Merchants,Madhya Bihar Gramin Bank,Vijaya Bank,Kerala,Haryana,3203,3767,2,10,7,9,9,35,57,10,5,0,0,True
59548.0,59548.0,Transfer,Inter-bank Transfer,Successful,14,3,8,2022-08-04 14:36:00,PayPal (for international transactions),Paytm for Business,Yes Bank,Equitas Small Finance Bank,Jammu and Kashmir,Maharashtra,3751,5309,5,7,7,9,8,58,19,7,12,0,0,True
67682.0,67682.0,Fee,Transaction Fee,Successful,12,2,10,2021-10-06 12:44:00,Google Pay,HDFC Merchant Services,Indian Bank,Paschim Banga Gramin Bank,West Bengal,Gujarat,5734,5172,1,15,7,4,4,26,40,21,4,0,0,True
58274.0,61087.0,Fee,Transaction Fee,Successful,10,5,1,2023-01-21 10:32:00,MobiKwik,Stripe (for international transactions),Bank of Baroda,South Indian Bank,Jammu and Kashmir,West Bengal,5735,7011,1,15,7,8,14,5,47,7,21,0,0,True
22752.0,23850.0,Deposit,Cheque Deposit,Successful,2,2,7,2023-07-19 02:04:00,MasterCard,Google Pay for Business,Paschim Banga Gramin Bank,Federal Bank,Tamil Nadu,Haryana,8249,3051,0,5,7,7,3,40,20,17,5,0,0,True
59594.0,59594.0,Reversal,Transaction Error Correction,Successful,8,0,4,2023-04-03 08:04:00,MasterCard,CCAvenue,NKGSB Co-operative Bank,Lakshmi Vilas Bank,Odisha,Uttar Pradesh,7801,5592,4,14,7,7,2,36,34,13,19,0,0,True
20762.0,26990.0,Refund,Service Refund,Successful,12,4,11,2021-11-05 12:52:00,Visa,Google Pay for Business,Utkarsh Small Finance Bank,Indian Overseas Bank,West Bengal,Tamil Nadu,5713,3051,3,13,7,14,3,56,27,21,17,0,0,True
79144.0,79144.0,Transfer,Inter-bank Transfer,Successful,2,5,1,2020-01-25 02:04:00,Apple Pay (for international transactions),HDFC Merchant Services,Suryoday Small Finance Bank,AU Small Finance Bank,Rajasthan,Haryana,5949,7699,5,7,7,1,4,49,0,16,5,0,0,True
52248.0,52248.0,Deposit,Cash Deposit,Successful,22,4,4,2019-04-19 22:34:00,MasterCard,PayU,Indian Overseas Bank,Nainital Bank,Jharkhand,Karnataka,5661,7922,0,4,7,7,7,27,37,8,9,0,0,True
58524.0,58524.0,Withdrawal,ATM Withdrawal,Successful,16,3,7,2022-07-21 16:18:00,Apple Pay (for international transactions),SBI POS,Axis Bank,Lakshmi Vilas Bank,Haryana,Tamil Nadu,7273,5074,6,0,7,1,12,3,34,5,17,0,0,True
27878.0,27878.0,Transfer,Intra-bank Transfer,Failed,16,2,9,2020-09-16 16:20:00,PhonePe,Square (for international transactions),Paschim Banga Gramin Bank,Dhanlaxmi Bank,Jharkhand,Tamil Nadu,5599,7911,5,9,2,11,13,40,17,8,17,0,0,True
58116.0,58116.0,Deposit,Cash Deposit,Failed,14,4,6,2020-06-26 14:42:00,HDFC Bank NetBanking,PayU,HDFC Bank,North East Small Finance Bank,Rajasthan,Haryana,3562,7995,0,4,2,5,7,22,38,16,5,1,0,False
91554.0,91554.0,Withdrawal,ATM Withdrawal,Successful,4,2,5,2023-05-10 04:24:00,Amazon Pay,Pine Labs (for POS transactions),Yes Bank,Bank of Baroda,Tamil Nadu,Jharkhand,7230,3681,6,0,7,0,10,58,5,17,8,1,0,False
8068.0,8068.0,Transfer,Intra-bank Transfer,Successful,16,3,9,2021-09-23 16:38:00,MasterCard,Paytm for Business,Ujjivan Small Finance Bank,Shamrao Vithal Co-operative Bank,Haryana,Andhra Pradesh,5691,8249,5,9,7,7,8,53,46,5,0,0,0,True
90694.0,90694.0,Refund,Service Refund,Successful,18,4,3,2023-03-31 18:40:00,Paytm,Pine Labs (for POS transactions),Ujjivan Small Finance Bank,United Bank of India,Jharkhand,Bihar,5912,7829,3,13,7,10,10,53,55,8,1,0,0,True
74770.0,74770.0,Reversal,Fraudulent Transaction,Successful,14,0,4,2020-04-20 14:14:00,Google Pay,CCAvenue,Baroda Gujarat Gramin Bank,IDFC First Bank,Tamil Nadu,Rajasthan,6211,5960,4,6,7,4,2,8,25,17,16,0,0,True
53410.0,53410.0,Payment,Peer-to-Peer (P2P),Successful,8,6,8,2019-08-25 08:04:00,MobiKwik,PhonePe for Merchants,Vijaya Bank,Lakshmi Vilas Bank,Odisha,Gujarat,7296,5531,2,11,7,8,9,57,34,13,4,0,0,True
49536.0,49536.0,Withdrawal,Branch Withdrawal,Successful,22,4,5,2021-05-07 22:52:00,Amazon Pay,BharatPe (for UPI and QR code payments),Utkarsh Small Finance Bank,ICICI Bank,Kerala,Haryana,7273,1711,6,3,7,0,0,56,23,10,5,0,0,True
51718.0,51718.0,Deposit,Cheque Deposit,Successful,20,3,5,2021-05-06 20:48:00,Visa,BharatPe (for UPI and QR code payments),Dhanlaxmi Bank,Nainital Bank,Haryana,Kerala,8011,821,0,5,7,14,0,17,37,5,10,0,0,True
438.0,569.0,Deposit,Cash Deposit,On Hold,18,2,11,2020-11-25 18:06:00,Rupay,ICICI Merchant Services,Utkarsh Small Finance Bank,DCB Bank (Development Credit Bank),Odisha,West Bengal,780,3354,0,4,3,12,5,56,16,13,21,1,0,False
98212.0,98212.0,Reversal,Transaction Error Correction,Successful,2,2,12,2020-12-02 02:52:00,Google Pay,BillDesk,AU Small Finance Bank,Baroda Gujarat Gramin Bank,Odisha,West Bengal,5995,7299,4,14,7,4,1,0,8,13,21,0,0,True
62820.0,62820.0,Refund,Service Refund,Failed,14,5,5,2020-05-30 14:50:00,Google Pay,Stripe (for international transactions),UCO Bank,Karur Vysya Bank,Punjab,Haryana,5722,7273,3,13,2,4,14,52,32,15,5,1,0,False
72072.0,72072.0,Transfer,Intra-bank Transfer,Successful,6,5,6,2022-06-11 06:10:00,MobiKwik,Pine Labs (for POS transactions),Federal Bank,Karnataka Bank,Kerala,Kerala,8042,4900,5,9,7,8,10,20,31,10,10,0,0,True
53770.0,53770.0,Refund,Service Refund,Successful,12,4,7,2022-07-01 12:28:00,PhonePe,Paytm for Business,Cosmos Co-operative Bank,City Union Bank,Tamil Nadu,Bihar,3051,821,3,13,7,11,8,15,13,17,1,0,0,True
87488.0,87488.0,Reversal,Fraudulent Transaction,Successful,8,3,4,2021-04-29 08:56:00,ICICI iMobile,Square (for international transactions),Canara Bank,Bandhan Bank,Jammu and Kashmir,Uttar Pradesh,5698,7801,4,6,7,6,13,10,4,7,19,0,0,True
20496.0,21484.0,Transfer,Inter-bank Transfer,Successful,16,1,5,2023-05-16 16:30:00,Paytm,BillDesk,Karnataka Bank,Jana Small Finance Bank,Haryana,Odisha,7932,5976,5,7,7,10,1,31,30,5,13,0,0,True
52850.0,52850.0,Refund,Product Refund,Successful,6,0,7,2020-07-06 06:52:00,Paytm,BharatPe (for UPI and QR code payments),Baroda Gujarat Gramin Bank,South Indian Bank,Maharashtra,West Bengal,7996,5598,3,12,7,10,0,8,47,12,21,0,0,True
8906.0,8906.0,Payment,Peer-to-Peer (P2P),Successful,16,3,9,2020-09-24 16:20:00,Axis Pay,PhonePe for Merchants,Indian Bank,Canara Bank,Himachal Pradesh,Kerala,7523,5300,2,11,7,2,9,26,10,6,10,0,0,True
25452.0,25452.0,Reversal,Transaction Error Correction,Successful,18,5,12,2019-12-28 18:02:00,ICICI iMobile,CCAvenue,UCO Bank,Saraswat Cooperative Bank,Kerala,Goa,8661,5935,4,14,7,6,2,52,45,10,3,0,0,True
66098.0,66098.0,Deposit,Cash Deposit,Successful,8,3,7,2019-07-25 08:42:00,ICICI iMobile,Pine Labs (for POS transactions),Union Bank of India,Syndicate Bank,Uttar Pradesh,Jharkhand,5814,7999,0,4,7,6,10,54,50,19,8,0,0,True
69382.0,69382.0,Refund,Service Refund,Successful,20,0,8,2020-08-17 20:14:00,PhonePe,Google Pay for Business,Indian Overseas Bank,AU Small Finance Bank,Bihar,Rajasthan,763,7631,3,13,7,11,3,27,0,1,16,0,0,True
68292.0,71593.0,Transfer,International Transfer,Successful,2,4,2,2023-02-24 02:16:00,Paytm,Razorpay,ICICI Bank,Kotak Mahindra Bank,Haryana,Gujarat,7338,5310,5,8,7,10,11,23,33,5,4,0,0,True
47246.0,47246.0,Refund,Product Refund,Successful,6,1,4,2021-04-06 06:12:00,MasterCard,ICICI Merchant Services,Allahabad Bank,Kotak Mahindra Bank,Rajasthan,Puducherry,6529,6011,3,12,7,7,5,1,33,16,14,0,0,True
33920.0,33920.0,Payment,Bill Payment,Successful,20,3,4,2022-04-28 20:38:00,PayPal (for international transactions),BharatPe (for UPI and QR code payments),Bank of India,Madhya Bihar Gramin Bank,Odisha,West Bengal,8042,8699,2,2,7,9,0,6,35,13,21,0,0,True
44486.0,44486.0,Payment,Bill Payment,Successful,4,5,1,2020-01-11 04:16:00,MasterCard,Stripe (for international transactions),AU Small Finance Bank,IDFC First Bank,Haryana,Rajasthan,4789,3436,2,2,7,7,14,0,25,5,16,0,0,True
14234.0,14234.0,Deposit,Cash Deposit,Successful,22,5,7,2020-07-04 22:46:00,Google Pay,HDFC Merchant Services,Shamrao Vithal Co-operative Bank,Punjab & Sind Bank,Uttar Pradesh,Kerala,3405,7993,0,4,7,4,4,46,41,19,10,0,0,True
49828.0,49828.0,Transfer,International Transfer,Successful,2,1,12,2021-12-28 02:16:00,HDFC Bank NetBanking,Mswipe (for POS transactions),UCO Bank,City Union Bank,Uttar Pradesh,Uttar Pradesh,6010,5331,5,8,7,5,6,52,13,19,19,0,0,True
19042.0,19042.0,Payment,Merchant Payment,Successful,22,4,7,2021-07-23 22:12:00,Google Pay,PhonePe for Merchants,Syndicate Bank,Indian Overseas Bank,Punjab,Goa,6540,8031,2,10,7,4,9,50,27,15,3,0,0,True
8326.0,8727.0,Deposit,Cheque Deposit,Successful,10,6,3,2023-03-19 10:50:00,ICICI iMobile,Paytm for Business,Equitas Small Finance Bank,Lakshmi Vilas Bank,Andhra Pradesh,Puducherry,3782,9402,0,5,7,6,8,19,34,0,14,0,0,True
16608.0,21590.0,Refund,Service Refund,Successful,10,1,10,2022-10-18 10:32:00,Amazon Pay,Stripe (for international transactions),Punjab and Maharashtra Co-operative Bank (PMC),ICICI Bank,Jammu and Kashmir,West Bengal,5533,7261,3,13,7,0,14,43,23,7,21,0,0,True
55332.0,55332.0,Payment,Peer-to-Peer (P2P),Successful,14,6,4,2021-04-18 14:40:00,MasterCard,BharatPe (for UPI and QR code payments),Lakshmi Vilas Bank,Punjab & Sind Bank,Tamil Nadu,Gujarat,5551,780,2,11,7,7,0,34,41,17,4,0,0,True
1372.0,1372.0,Deposit,Cheque Deposit,Pending,12,4,3,2021-03-26 12:52:00,SBI YONO,Square (for international transactions),Fincare Small Finance Bank,AU Small Finance Bank,Tamil Nadu,Odisha,7922,5921,0,5,4,13,13,21,0,17,13,1,0,False
88836.0,115486.0,Withdrawal,Branch Withdrawal,Successful,6,0,10,2022-10-03 06:36:00,Apple Pay (for international transactions),PayU,IDFC First Bank,Bandhan Bank,Bihar,Andhra Pradesh,5945,3681,6,3,7,1,7,25,4,1,0,0,0,True
35224.0,35224.0,Transfer,Intra-bank Transfer,Successful,14,0,5,2023-05-08 14:18:00,MobiKwik,Google Pay for Business,Yes Bank,Indian Overseas Bank,West Bengal,Bihar,7221,5946,5,9,7,8,3,58,27,21,1,0,0,True
77342.0,81079.0,Withdrawal,Branch Withdrawal,Successful,18,1,1,2023-01-31 18:36:00,ICICI iMobile,PayU,Syndicate Bank,Bank of Baroda,Jammu and Kashmir,Maharashtra,7535,8241,6,3,7,6,7,50,5,7,12,0,0,True
48738.0,48738.0,Payment,Merchant Payment,Successful,16,5,4,2021-04-24 16:12:00,Amazon Pay,BillDesk,Bandhan Bank,Shamrao Vithal Co-operative Bank,Goa,Maharashtra,5963,8931,2,10,7,0,1,4,46,3,12,0,0,True
20386.0,21369.0,Deposit,Cash Deposit,Successful,2,2,9,2023-09-13 02:58:00,Amazon Pay,BharatPe (for UPI and QR code payments),Baroda Gujarat Gramin Bank,IDBI Bank,Bihar,Jammu and Kashmir,3534,5451,0,4,7,0,0,8,24,1,7,1,0,False
91848.0,96286.0,Fee,Account Maintenance Fee,Successful,6,6,3,2023-03-05 06:50:00,PayPal (for international transactions),Mswipe (for POS transactions),HDFC Bank,Punjab and Maharashtra Co-operative Bank (PMC),Maharashtra,Kerala,3518,7922,1,1,7,9,6,22,43,12,10,0,0,True
48256.0,48256.0,Deposit,Cash Deposit,Successful,12,4,11,2019-11-29 12:02:00,PayPal (for international transactions),Square (for international transactions),Jana Small Finance Bank,Nainital Bank,Madhya Pradesh,Goa,6381,1731,0,4,7,9,13,30,37,11,3,0,0,True
42936.0,42936.0,Payment,Peer-to-Peer (P2P),Successful,22,5,3,2020-03-14 22:52:00,Apple Pay (for international transactions),PhonePe for Merchants,Paschim Banga Gramin Bank,Bank of Maharashtra,Haryana,Tamil Nadu,5949,5681,2,11,7,1,9,40,7,5,17,0,0,True
59600.0,59600.0,Deposit,Cheque Deposit,Successful,18,4,4,2019-04-05 18:58:00,Apple Pay (for international transactions),CCAvenue,Jana Small Finance Bank,RBL Bank,Rajasthan,Tamil Nadu,8041,3626,0,5,7,1,2,30,44,16,17,0,0,True
52708.0,52708.0,Withdrawal,Branch Withdrawal,Successful,16,1,5,2020-05-05 16:46:00,Axis Pay,SBI POS,Karnataka Bank,Bank of Maharashtra,Bihar,Andhra Pradesh,7395,4011,6,3,7,2,12,31,7,1,0,0,0,True
72176.0,72176.0,Reversal,Fraudulent Transaction,Successful,16,2,9,2020-09-23 16:28:00,Google Pay,SBI POS,Oriental Bank of Commerce,Bandhan Bank,Jharkhand,Odisha,1711,820,4,6,7,4,12,39,4,8,13,0,0,True
22750.0,22750.0,Reversal,Fraudulent Transaction,Successful,20,4,1,2021-01-22 20:12:00,ICICI iMobile,Google Pay for Business,Jana Small Finance Bank,Yes Bank,Tamil Nadu,Haryana,3252,7392,4,6,7,6,3,30,58,17,5,0,0,True
39662.0,51560.0,Reversal,Transaction Error Correction,Refunded,0,0,10,2020-10-26 00:50:00,SBI YONO,PhonePe for Merchants,Ujjivan Small Finance Bank,IDFC First Bank,Haryana,Odisha,8651,5975,4,14,5,13,9,53,25,5,13,0,0,True
74866.0,78484.0,Reversal,Transaction Error Correction,Successful,20,2,7,2023-07-12 20:10:00,Rupay,ICICI Merchant Services,Punjab & Sind Bank,Andhra Bank,Bihar,Gujarat,8220,743,4,14,7,12,5,41,2,1,4,0,0,True
2986.0,2986.0,Withdrawal,ATM Withdrawal,Refunded,6,1,8,2021-08-17 06:10:00,SBI YONO,HDFC Merchant Services,South Indian Bank,Capital Small Finance Bank,West Bengal,Haryana,3374,7297,6,0,5,13,4,47,11,21,5,1,0,False
13874.0,13874.0,Transfer,International Transfer,Successful,22,6,12,2019-12-15 22:16:00,Rupay,Stripe (for international transactions),IndusInd Bank,Corporation Bank,West Bengal,Karnataka,5912,8011,5,8,7,12,14,28,14,21,9,0,0,True
1020.0,1020.0,Transfer,Inter-bank Transfer,Successful,18,0,6,2021-06-14 18:20:00,ICICI iMobile,BillDesk,Tamilnad Mercantile Bank,Madhya Bihar Gramin Bank,West Bengal,Haryana,5949,5718,5,7,7,6,1,51,35,21,5,0,0,True
56.0,56.0,Withdrawal,Branch Withdrawal,Successful,2,3,8,2019-08-29 02:06:00,Paytm,Mswipe (for POS transactions),IDFC First Bank,Punjab National Bank (PNB),Jharkhand,Goa,7512,5422,6,3,7,10,6,25,42,8,3,0,0,True
38110.0,38110.0,Transfer,International Transfer,Successful,20,6,9,2020-09-06 20:24:00,BHIM UPI,Mswipe (for POS transactions),Andhra Bank,Karur Vysya Bank,Odisha,West Bengal,5977,4812,5,8,7,3,6,2,32,13,21,0,0,True
39264.0,39264.0,Transfer,International Transfer,Successful,22,2,5,2021-05-19 22:32:00,SBI YONO,ICICI Merchant Services,Bharatiya Mahila Bank,Corporation Bank,Punjab,Uttar Pradesh,8050,7217,5,8,7,13,5,9,14,15,19,0,0,True
44546.0,44546.0,Fee,Transaction Fee,Successful,6,6,5,2021-05-02 06:54:00,Axis Pay,Google Pay for Business,Oriental Bank of Commerce,Paschim Banga Gramin Bank,Punjab,Uttar Pradesh,6012,7535,1,15,7,2,3,39,40,15,19,0,0,True
72296.0,72296.0,Transfer,International Transfer,Successful,2,6,11,2023-11-19 02:58:00,SBI YONO,CCAvenue,Axis Bank,RBL Bank,Odisha,Rajasthan,7339,5598,5,8,7,13,2,3,44,13,16,0,0,True
43092.0,43092.0,Payment,Bill Payment,Successful,2,4,8,2020-08-07 02:32:00,PhonePe,Google Pay for Business,Punjab National Bank (PNB),Baroda Gujarat Gramin Bank,Uttar Pradesh,Goa,5551,4225,2,2,7,11,3,42,8,19,3,0,0,True
10264.0,10264.0,Fee,Account Maintenance Fee,Cancelled,18,4,7,2020-07-31 18:06:00,HDFC Bank NetBanking,Square (for international transactions),Punjab & Sind Bank,IndusInd Bank,Tamil Nadu,Haryana,4119,5735,1,1,0,5,13,41,28,17,5,1,0,False
72744.0,72744.0,Withdrawal,ATM Withdrawal,Successful,10,1,4,2020-04-21 10:28:00,SBI YONO,Mswipe (for POS transactions),IndusInd Bank,Union Bank of India,Uttar Pradesh,Tamil Nadu,3513,8999,6,0,7,13,6,28,54,19,17,0,0,True
90024.0,90024.0,Transfer,Inter-bank Transfer,Successful,8,4,6,2023-06-09 08:44:00,Google Pay,BillDesk,Shamrao Vithal Co-operative Bank,North East Small Finance Bank,Gujarat,Bihar,4814,7338,5,7,7,4,1,46,38,4,1,0,0,True
88436.0,88436.0,Withdrawal,Branch Withdrawal,Successful,2,5,2,2022-02-05 02:32:00,Rupay,SBI POS,Kotak Mahindra Bank,AU Small Finance Bank,Rajasthan,Gujarat,8031,8011,6,3,7,12,12,33,0,16,4,0,0,True
36764.0,36764.0,Reversal,Fraudulent Transaction,Successful,20,0,2,2021-02-15 20:52:00,BHIM UPI,HDFC Merchant Services,Syndicate Bank,Karur Vysya Bank,Kerala,Tamil Nadu,5994,3600,4,6,7,3,4,50,32,10,17,0,0,True
69862.0,69862.0,Reversal,Fraudulent Transaction,Successful,4,4,5,2020-05-22 04:48:00,Axis Pay,Mswipe (for POS transactions),United Bank of India,Tamilnad Mercantile Bank,Uttarakhand,Jammu and Kashmir,5937,9400,4,6,7,2,6,55,51,20,7,0,0,True
4430.0,4430.0,Deposit,Cash Deposit,Successful,6,6,10,2022-10-02 06:02:00,PayPal (for international transactions),Razorpay,Suryoday Small Finance Bank,Karnataka Bank,Haryana,Kerala,5211,5598,0,4,7,9,11,49,31,5,10,0,0,True
13356.0,13356.0,Reversal,Transaction Error Correction,Successful,20,0,8,2022-08-29 20:28:00,Amazon Pay,Square (for international transactions),Karnataka Bank,AU Small Finance Bank,Odisha,Delhi,4225,743,4,14,7,0,13,31,0,13,2,1,0,False
22414.0,29138.0,Deposit,Cash Deposit,Successful,22,6,10,2022-10-09 22:34:00,Google Pay,BillDesk,Karur Vysya Bank,Lakshmi Vilas Bank,West Bengal,Kerala,3527,5966,0,4,7,4,1,32,34,21,10,0,0,True
43380.0,43380.0,Fee,Account Maintenance Fee,Successful,8,4,4,2022-04-22 08:56:00,MasterCard,HDFC Merchant Services,Bank of Baroda,Indian Bank,Jharkhand,Gujarat,7375,4457,1,1,7,7,4,5,26,8,4,0,0,True
65028.0,65028.0,Fee,Account Maintenance Fee,Successful,12,4,12,2022-12-09 12:00:00,ICICI iMobile,HDFC Merchant Services,ICICI Bank,Karnataka Bank,Tamil Nadu,Gujarat,5193,4214,1,1,7,6,4,23,31,17,4,0,0,True
44746.0,44746.0,Reversal,Fraudulent Transaction,Successful,4,4,2,2021-02-12 04:02:00,Amazon Pay,Stripe (for international transactions),Vijaya Bank,Equitas Small Finance Bank,Rajasthan,Bihar,5963,5122,4,6,7,0,14,57,19,16,1,0,0,True
97792.0,127129.0,Payment,Merchant Payment,Successful,10,0,10,2020-10-26 10:02:00,Amazon Pay,PayU,Lakshmi Vilas Bank,Lakshmi Vilas Bank,Gujarat,Jharkhand,5072,5816,2,10,7,0,7,34,34,4,8,0,0,True
87342.0,87342.0,Deposit,Cash Deposit,Successful,8,0,12,2020-12-07 08:26:00,SBI YONO,Google Pay for Business,Fincare Small Finance Bank,Jammu & Kashmir Bank,Maharashtra,West Bengal,7321,7339,0,4,7,13,3,21,29,12,21,0,0,True
